hospital_name,city,state,address,lat,long,query
Epworth Geelong,Waurn Ponds,VIC,"1 Epworth Pl, Waurn Ponds VIC 3216",-38.207778,144.296667,Epworth Geelong Waurn Ponds VIC Australia
Epworth Richmond,Richmond,VIC,"89 Bridge Rd, Richmond VIC 3121",-37.817778,144.997222,Epworth Richmond Richmond VIC Australia
Footscray Hospital,Footscray,VIC,"160 Gordon St, Footscray VIC 3011",-37.802222,144.903889,Footscray Hospital Footscray VIC Australia
Frankston Hospital,Frankston,VIC,"2 Hastings Rd, Frankston VIC 3199",-38.145,145.123889,Frankston Hospital Frankston VIC Australia
Holmesglen Private Hospital,Moorabbin,VIC,"490 South Rd, Moorabbin VIC 3189",-37.931667,145.055556,Holmesglen Private Hospital Moorabbin VIC Australia
Jessie McPherson Private Hospital,Clayton,VIC,"246 Clayton Rd, Clayton VIC 3168",-37.923889,145.125556,Jessie McPherson Private Hospital Clayton VIC Australia
Knox Private Hospital,Wantirna,VIC,"262 Mountain Hwy, Wantirna VIC 3152",-37.842778,145.233889,Knox Private Hospital Wantirna VIC Australia
Latrobe Regional Hospital,Traralgon,VIC,"10 Village Ave, Traralgon VIC 3844",-38.190556,146.539722,Latrobe Regional Hospital Traralgon VIC Australia
Melbourne Private Hospital,Parkville,VIC,"41-51 Flemington Rd, Parkville VIC 3052",-37.789444,144.953611,Melbourne Private Hospital Parkville VIC Australia
Mulgrave Private Hospital,Mulgrave,VIC,"1 Blackburn Rd, Mulgrave VIC 3170",-37.919167,145.165833,Mulgrave Private Hospital Mulgrave VIC Australia
Northern Hospital,Epping,VIC,"185 Cooper St, Epping VIC 3076",-37.636944,145.018889,Northern Hospital Epping VIC Australia
Peninsula Private Hospital,Frankston,VIC,"525 McClelland Dr, Frankston VIC 3199",-38.170556,145.154722,Peninsula Private Hospital Frankston VIC Australia
The Alfred,Melbourne,VIC,"55 Commercial Rd, Melbourne VIC 3004",-37.845833,144.982222,The Alfred Melbourne VIC Australia
The Royal Melbourne Hospital,Parkville,VIC,"300 Grattan St, Parkville VIC 3050",-37.798889,144.956389,The Royal Melbourne Hospital Parkville VIC Australia
St John of God Ballarat,Ballarat,VIC,"101 Drummond St N, Ballarat Central VIC 3350",-37.551667,143.865833,St John of God Ballarat Ballarat VIC Australia
St John of God Bendigo,Bendigo,VIC,"133-145 Lily St, Bendigo VIC 3550",-36.761111,144.272778,St John of God Bendigo Bendigo VIC Australia
St John of God Berwick,Berwick,VIC,"75 Kangan Dr, Berwick VIC 3806",-38.037778,145.355,St John of God Berwick Berwick VIC Australia
St John of God Geelong,Geelong,VIC,"80 Myers St, Geelong VIC 3220",-38.147778,144.363889,St John of God Geelong Geelong VIC Australia
St Vincents Hospital Melbourne,Fitzroy,VIC,"41 Victoria Parade, Fitzroy VIC 3065",-37.808889,144.983056,St Vincents Hospital Melbourne Fitzroy VIC Australia
St Vincents Private Hospital Melbourne,Fitzroy,VIC,"59 Victoria Parade, Fitzroy VIC 3065",-37.808056,144.983611,St Vincents Private Hospital Melbourne Fitzroy VIC Australia
St Vincents Private Hospital Werribee,Werribee,VIC,"240 Hoppers Ln, Werribee VIC 3030",-37.876111,144.651944,St Vincents Private Hospital Werribee Werribee VIC Australia
Sunshine Hospital,St Albans,VIC,"176 Furlong Rd, St Albans VIC 3021",-37.727778,144.818889,Sunshine Hospital St Albans VIC Australia
Victorian Heart Hospital,Clayton,VIC,"631 Blackburn Rd, Clayton VIC 3168",-37.914444,145.128889,Victorian Heart Hospital Clayton VIC Australia
University Hospital Geelong,Geelong,VIC,"1 Bellerine St, Geelong VIC 3220",-38.152222,144.366389,University Hospital Geelong Geelong VIC Australia
Warringal Private Hospital,Heidelberg,VIC,"216 Burgundy St, Heidelberg VIC 3084",-37.752778,145.064167,Warringal Private Hospital Heidelberg VIC Australia
Western Private Hospital,Footscray,VIC,"44 Eleanor St, Footscray VIC 3011",-37.799444,144.903056,Western Private Hospital Footscray VIC Australia
